zi,N
一,28827
七,564
万,1189
三,2831
上,6489
下,6272
不,20475
与,1964
丑,109
专,441
且,309
世,1228
业,818
东,2481
丝,1389
丢,100
两,2096
严,645
丧,209
个,11350
丫,100
中,4334
丰,100
丸,198
丹,300
为,9133
主,1223
丽,443
举,109
久,552
么,5285
义,441
之,1821
乌,198
乎,335
乐,8871
乖,232
乘,109
九,873
也,7767
乡,441
书,536
买,1270
乱,100
了,21821
争,318
事,3810
二,1077
于,2126
亏,116
云,2055
互,746
五,992
井,116
亚,1249
些,1684
亡,200
交,732
亦,668
产,109
享,3032
京,759
亮,425
亲,1239
人,20524
亿,100
什,2054
仅,548
仇,109
今,3131
介,116
仍,109
从,1909
仓,309
仔,457
他,5151
付,641
仙,318
代,1293
令,300
以,5216
们,6066
仰,109
仲,109
件,944
价,1380
任,518
份,225
仿,82
伊,116
休,784
优,1197
伙,225
会,7508
伞,100
传,309
伤,542
伪,99
估,198
伴,341
伸,116
似,116
伽,100
但,2122
位,650
低,1263
住,460
体,1073
何,609
佛,182
作,1696
你,20819
佩,109
佳,441
使,1086
供,109
依,652
侮,109
侵,109
便,962
促,109
俄,109
俊,232
俗,327
保,851
信,1615
俩,100
修,443
俱,209
俺,109
倒,525
倔,116
候,2780
倚,100
借,217
值,806
倾,116
假,229
偏,325
做,2746
停,434
健,334
偶,236
偷,754
傍,209
储,216
催,100
傲,309
傻,309
像,1699
僵,100
儿,1445
允,100
元,1930
兄,232
充,618
先,1466
光,1860
克,762
免,609
兔,100
入,3800
全,6104
八,884
公,1384
六,566
兰,100
共,100
关,863
兴,116
兵,16
其,1237
养,861
内,2607
册,199
再,2262
冒,200
写,877
军,1826
农,318
冠,689
冬,559
冰,425
冲,216
决,232
况,309
冷,514
冻,116
净,100
凄,100
准,580
凉,116
凌,116
减,627
凝,218
几,953
凡,1109
凤,218
凭,101
凯,457
凰,218
凶,109
出,4118
击,750
刀,457
分,5128
切,898
刑,116
划,116
列,443
刘,109
则,232
刚,2022
创,100
初,861
删,109
判,573
利,973
别,2583
刮,100
到,10544
制,743
刷,116
券,1794
刺,109
刻,694
剁,331
剂,232
前,2578
剑,69
剧,782
剩,214
副,116
力,2780
劝,116
办,329
功,407
加,4003
劣,109
动,2428
助,216
努,950
励,232
劲,100
劳,109
劵,216
势,209
勋,100
勒,116
募,209
勤,109
匀,662
包,2020
匆,200
化,1161
北,1887
匙,332
区,1248
医,216
十,1886
千,1300
升,443
午,1030
半,852
华,1207
单,1801
卖,100
南,1537
博,1653
卜,109
占,100
卡,1010
卢,218
卧,225
卯,109
印,109
危,109
即,1475
却,1673
卷,634
厅,116
历,661
厉,427
压,218
厚,525
原,1537
厨,316
去,4997
县,109
参,699
又,2156
叉,200
及,543
友,2163
双,1082
反,532
发,3927
叔,225
取,891
受,1184
变,1934
口,1174
古,566
句,550
另,216
只,3337
叫,782
叭,100
可,7392
台,891
右,100
叶,100
号,958
司,300
叻,270
吃,2453
各,771
合,1916
吉,116
同,1190
名,3028
后,5921
吐,234
向,873
吗,974
君,109
否,225
吧,3659
吨,182
含,309
听,1527
启,109
吴,1880
吵,109
吸,550
吹,225
吻,109
吾,327
呀,509
呆,109
告,757
呐,109
呗,116
员,631
呢,1200
呦,100
周,1431
味,748
呵,382
呼,409
命,438
咋,318
和,5384
咒,109
咕,200
咯,100
咸,109
咽,116
品,1530
哇,109
哈,2618
响,229
哒,332
哥,1400
哦,1859
哪,575
哭,425
哲,281
哼,99
哽,116
唇,182
唏,116
唠,109
唤,109
售,209
唯,757
唱,659
商,650
啊,2488
啥,458
啦,975
啫,109
善,889
喇,100
喘,116
喜,3725
喝,682
喱,109
喵,109
嗎,116
嗑,109
嗟,100
嗨,109
嗯,341
嗲,232
嘉,342
嘔,116
嘘,116
嘛,548
嘲,100
嘴,216
嘻,600
噜,200
器,480
噩,1
嚎,100
嚣,116
囊,100
囚,116
四,2103
回,3671
因,1836
团,441
园,318
困,566
围,618
固,100
国,2278
图,2497
圆,116
圈,639
土,541
圣,216
在,11459
地,3663
场,2006
圾,109
址,325
均,530
坎,109
坏,309
坐,457
坑,416
块,350
坚,1189
坛,218
坤,266
坨,109
垂,109
垃,109
型,525
垢,116
城,328
域,100
培,109
基,664
堂,334
堡,109
塌,1
塞,209
境,741
墓,109
墙,232
增,210
壁,100
士,599
壮,232
声,641
处,1701
备,680
