zi,N
愿,1019
以,4049
后,5367
所,2476
有,14470
的,53713
情,4050
深,1374
意,1385
重,1474
都,5788
能,5545
换,1023
来,17857
岁,2673
月,3866
温,660
柔,960
为,4170
爱,6103
加,2631
冕,117
黄,1595
豆,1933
文,4460
蛤,351
腐,1077
汤,852
鲜,580
活,1631
放,2265
入,2282
清,1219
水,2873
中,7554
盐,426
浸,589
泡,801
小,5223
时,6038
之,2203
冲,589
洗,2239
净,234
泥,284
沙,234
沥,117
干,551
分,5734
待,1111
用,3568
煮,1065
熟,401
切,1165
块,263
锅,1090
倒,640
油,1608
烧,524
至,1111
七,359
成,4159
热,1250
姜,143
片,2185
爆,384
香,643
炒,208
开,4445
壳,234
适,675
量,1720
好,10536
调,401
和,4422
白,2182
胡,263
椒,192
粉,793
再,1979
钟,1336
出,4018
即,639
可,7752
總,226
明,2391
他,2828
那,3377
麼,117
認,117
真,4446
卻,117
沒,226
結,117
果,2711
我,25944
也,6146
一,23772
樣,326
迪,635
丽,1257
巴,1399
米,706
兰,472
街,760
头,2630
仙,401
女,2249
像,1145
是,19068
迷,693
失,701
在,11369
优,2351
雅,288
神,1495
秘,117
妩,117
媚,117
灵,351
动,1551
心,11060
自,6912
己,3433
走,2189
却,1637
天,8569
盼,234
着,2864
你,19236
会,6555
主,593
找,1746
说,5874
不,19158
要,7048
最,4884
坚,781
持,990
到,9259
亲,1044
朋,284
生,11267
日,8072
快,10408
乐,7383
享,3188
图,1325
鼓,359
掌,497
想,4335
看,4923
先,618
去,4118
了,22145
确,117
实,1412
直,2083
觉,1802
告,943
诉,351
很,3585
值,947
得,5979
期,820
部,1916
电,993
影,710
地,3195
笑,3378
父,518
母,455
追,288
求,1620
颜,258
这,7152
美,3098
方,2808
太,3218
多,6034
累,497
呀,618
回,2120
里,3685
虽,823
然,2831
几,574
睡,985
亮,781
每,1294
嘛,217
哪,752
么,4769
事,2439
忙,476
没,4006
工,1014
作,1819
骂,263
野,639
鸡,405
还,3927
学,2878
打,2412
吧,6200
揖,585
人,12720
如,3289
八,782
辈,593
子,4720
跟,697
杰,117
发,2529
次,2217
微,4349
信,1211
就,11049
刚,1623
预,371
祝,1137
订,234
婚,635
害,1407
怕,1854
赶,376
紧,497
问,976
谁,1715
结,1255
完,1171
更,2182
立,843
马,1259
复,1040
前,2352
把,1729
删,234
脸,505
懵,117
逼,245
怎,487
什,2391
因,1461
让,2238
别,1987
雾,839
现,3354
连,598
编,351
理,789
由,837
敢,796
剪,142
短,259
跪,1332
熬,475
夜,1214
喝,593
特,964
怜,773
炸,263
裂,468
偕,117
老,2009
只,3526
碎,568
晚,2231
上,5925
吃,2168
个,6605
苹,117
感,3355
瘦,238
