zi,N
測,280
量,2125
員,1395
號,633
是,11364
美,3172
國,8744
探,172
月,5603
球,2216
的,46432
計,721
畫,213
中,14508
第,3271
六,692
艘,174
登,546
陸,639
太,1837
空,2993
船,438
於,4117
央,793
灣,1273
總,1215
共,3209
傳,1030
送,328
張,476
照,490
片,439
回,1217
地,6439
這,1899
成,5815
功,675
在,14203
表,2599
面,2301
軟,63
著,1127
四,1605
並,1662
獲,383
取,1032
點,642
周,749
邊,459
電,1680
視,919
影,1048
像,534
定,3211
土,1188
壤,79
化,2983
學,2781
元,2174
素,761
豐,225
度,2360
接,1659
觸,76
時,3316
動,1702
態,299
資,755
料,936
得,2615
熱,215
和,9559
雷,424
達,732
反,1514
射,718
進,1371
行,4707
一,12876
個,2660
毫,133
米,1032
引,711
擎,69
腐,79
蝕,21
實,816
驗,109
幾,339
乎,223
與,3029
完,731
全,2549
相,2130
同,3716
西,3496
帶,541
了,6312
攝,104
機,1251
腳,63
上,5190
安,1885
裝,326
小,1916
磁,222
棒,128
還,537
有,10220
散,318
儀,153
所,2965
需,694
要,3470
工,5191
程,1489
設,781
備,357
它,1090
年,14810
日,5925
座,460
標,488
位,2874
置,744
為,6747
北,2878
緯,33
經,1333
可,3582
見,698
半,581
心,1333
劃,294
目,2634
阿,1390
波,906
羅,882
任,2830
務,778
前,2606
應,638
作,3803
因,3030
夜,173
晚,276
來,1982
臨,212
而,4223
關,1166
閉,59
兩,1171
星,1503
期,2635
恢,157
復,301
但,2470
沒,575
再,813
用,4458
對,2361
調,534
查,606
已,1347
使,2588
粒,169
子,2992
法,4764
似,370
器,787
線,734
光,1289
譜,73
次,2176
火,799
被,3759
廣,742
泛,211
步,612
試,169
技,882
術,556
重,2276
新,2984
燃,222
秒,89
首,1268
起,1697
飛,243
產,970
生,3952
牛,180
頓,168
推,842
力,2618
離,551
尺,124
公,3752
向,1660
方,4487
移,472
之,5103
後,3380
依,560
原,2148
先,921
繼,321
續,409
運,982
录,839
科,1830
编,8694
辑,8439
包,1350
括,962
導,691
管,1306
焦,74
長,1618
厘,62
鏡,68
頭,358
快,325
門,777
偏,154
濾,8
彩,93
色,1132
虹,71
膜,71
以,7740
近,1033
垂,238
直,1410
入,2366
馬,1123
控,484
制,2506
高,2750
整,655
處,655
理,2950
分,4582
析,201
